"t","y","id","cluster"
0,0.640911468389743,"Inactive_Rec_6","1"
0.01001001001001,0.689468223945883,"Inactive_Rec_6","1"
0.02002002002002,0.737187389916677,"Inactive_Rec_6","1"
0.03003003003003,0.784084875701398,"Inactive_Rec_6","1"
0.04004004004004,0.830176330927338,"Inactive_Rec_6","1"
0.05005005005005,0.875477148641898,"Inactive_Rec_6","1"
0.0600600600600601,0.920002468502043,"Inactive_Rec_6","1"
0.0700700700700701,0.963767179959399,"Inactive_Rec_6","1"
0.0800800800800801,1.00678592543912,"Inactive_Rec_6","1"
0.0900900900900901,1.04907310351105,"Inactive_Rec_6","1"
0.1001001001001,1.0906428720514,"Inactive_Rec_6","1"
0.11011011011011,1.13150915139369,"Inactive_Rec_6","1"
0.12012012012012,1.17168562746742,"Inactive_Rec_6","1"
0.13013013013013,1.21118575492317,"Inactive_Rec_6","1"
0.14014014014014,1.25002276024291,"Inactive_Rec_6","1"
0.15015015015015,1.28820964483439,"Inactive_Rec_6","1"
0.16016016016016,1.32575918810841,"Inactive_Rec_6","1"
0.17017017017017,1.36268395053797,"Inactive_Rec_6","1"
0.18018018018018,1.3989962766984,"Inactive_Rec_6","1"
0.19019019019019,1.43470829828746,"Inactive_Rec_6","1"
0.2002002002002,1.4698319371246,"Inactive_Rec_6","1"
0.21021021021021,1.50437890812858,"Inactive_Rec_6","1"
0.22022022022022,1.53836072227273,"Inactive_Rec_6","1"
0.23023023023023,1.57178868951709,"Inactive_Rec_6","1"
0.24024024024024,1.60467392171687,"Inactive_Rec_6","1"
0.25025025025025,1.63702733550659,"Inactive_Rec_6","1"
0.26026026026026,1.66885965515938,"Inactive_Rec_6","1"
0.27027027027027,1.70018141542086,"Inactive_Rec_6","1"
0.28028028028028,1.73100296431726,"Inactive_Rec_6","1"
0.29029029029029,1.76133446593725,"Inactive_Rec_6","1"
0.3003003003003,1.79118590318715,"Inactive_Rec_6","1"
0.31031031031031,1.82056708051916,"Inactive_Rec_6","1"
0.32032032032032,1.84948762663226,"Inactive_Rec_6","1"
0.33033033033033,1.87795699714557,"Inactive_Rec_6","1"
0.34034034034034,1.90598447724387,"Inactive_Rec_6","1"
0.35035035035035,1.93357918429508,"Inactive_Rec_6","1"
0.36036036036036,1.96075007043944,"Inactive_Rec_6","1"
0.37037037037037,1.98750592515042,"Inactive_Rec_6","1"
0.38038038038038,2.01385537776697,"Inactive_Rec_6","1"
0.39039039039039,2.03980689999716,"Inactive_Rec_6","1"
0.4004004004004,2.06536880839316,"Inactive_Rec_6","1"
0.41041041041041,2.09054926679728,"Inactive_Rec_6","1"
0.42042042042042,2.11535628875929,"Inactive_Rec_6","1"
0.43043043043043,2.13979773992484,"Inactive_Rec_6","1"
0.44044044044044,2.16388134039495,"Inactive_Rec_6","1"
0.45045045045045,2.18761466705675,"Inactive_Rec_6","1"
0.46046046046046,2.21100515588529,"Inactive_Rec_6","1"
0.47047047047047,2.23406010421665,"Inactive_Rec_6","1"
0.48048048048048,2.25678667299232,"Inactive_Rec_6","1"
0.49049049049049,2.27919188897491,"Inactive_Rec_6","1"
0.500500500500501,2.30128264693537,"Inactive_Rec_6","1"
0.510510510510511,2.32306571181176,"Inactive_Rec_6","1"
0.520520520520521,2.34454772083969,"Inactive_Rec_6","1"
0.530530530530531,2.36573518565457,"Inactive_Rec_6","1"
0.540540540540541,2.38663449436583,"Inactive_Rec_6","1"
0.550550550550551,2.40725191360326,"Inactive_Rec_6","1"
0.560560560560561,2.42759359053557,"Inactive_Rec_6","1"
0.570570570570571,2.44766555486142,"Inactive_Rec_6","1"
0.580580580580581,2.46747372077306,"Inactive_Rec_6","1"
0.590590590590591,2.48702388889276,"Inactive_Rec_6","1"
0.600600600600601,2.50632174818222,"Inactive_Rec_6","1"
0.610610610610611,2.5253728778252,"Inactive_Rec_6","1"
0.620620620620621,2.54418274908358,"Inactive_Rec_6","1"
0.630630630630631,2.56275672712692,"Inactive_Rec_6","1"
0.640640640640641,2.58110007283598,"Inactive_Rec_6","1"
0.650650650650651,2.59921794458023,"Inactive_Rec_6","1"
0.660660660660661,2.61711539996965,"Inactive_Rec_6","1"
0.670670670670671,2.63479739758105,"Inactive_Rec_6","1"
0.680680680680681,2.65226879865913,"Inactive_Rec_6","1"
0.690690690690691,2.66953436879255,"Inactive_Rec_6","1"
0.700700700700701,2.68659877956525,"Inactive_Rec_6","1"
0.710710710710711,2.70346661018317,"Inactive_Rec_6","1"
0.720720720720721,2.7201423490768,"Inactive_Rec_6","1"
0.730730730730731,2.73663039547965,"Inactive_Rec_6","1"
0.740740740740741,2.75293506098296,"Inactive_Rec_6","1"
0.750750750750751,2.76906057106688,"Inactive_Rec_6","1"
0.760760760760761,2.78501106660845,"Inactive_Rec_6","1"
0.770770770770771,2.80079060536651,"Inactive_Rec_6","1"
0.780780780780781,2.81640316344389,"Inactive_Rec_6","1"
0.790790790790791,2.83185263672713,"Inactive_Rec_6","1"
0.800800800800801,2.84714284230398,"Inactive_Rec_6","1"
0.810810810810811,2.8622775198589,"Inactive_Rec_6","1"
0.820820820820821,2.87726033304686,"Inactive_Rec_6","1"
0.830830830830831,2.89209487084574,"Inactive_Rec_6","1"
0.840840840840841,2.9067846488875,"Inactive_Rec_6","1"
0.850850850850851,2.92133311076842,"Inactive_Rec_6","1"
0.860860860860861,2.9357436293387,"Inactive_Rec_6","1"
0.870870870870871,2.95001950797166,"Inactive_Rec_6","1"
0.880880880880881,2.96416398181275,"Inactive_Rec_6","1"
0.890890890890891,2.97818021900867,"Inactive_Rec_6","1"
