"alpha","gamma","A","B","b","tau","signum_TF"
2.99927694904524e-05,7.02266721472577e-05,17.9291058181685,27.9057874542145,0.207500784781261,511.844563826336,1
0.000149674190387082,6.40655327305835e-05,2.73756648511478,21.1867194764129,0.168953929927701,-68.1212278981152,1
2.9178127507447e-05,6.38501261138541e-05,0.413740698452406,0.0147834138425365,0,-362.124320061097,1
1.09479534476964e-05,2.92375319293854e-05,0.313879705416988,0.634308493927304,0.00338992075860965,-528,1
2.90127678156104e-05,4.14058048894993e-05,0.0124111955691575,9.01105169801888e-05,2.57301502152209e-06,-515.543612367526,1
2.91532140770583e-05,5.75860743120851e-05,0.0144816240256802,0.000531854410789381,0,-355.648340382427,1
3.7573744123379e-05,6.8633941321988e-05,0.0720198052302658,0.144834873556899,0,234.113837443737,1
2.89950569297618e-05,3.77036209506991e-05,0.0099975364078948,6.89929093186142e-05,2.56576091884221e-06,-527.999999957875,1
1.35140976565418e-05,3.24119318520487e-05,0.217303775244321,0.183387846321767,0,329.454537532694,1
1.36101240627893e-05,3.30042518491818e-05,0.217072270862591,0.186730394662521,0,332.16066967816,1
0.000569949710291139,0.000677562168575875,68.699808466771,135.328325314833,74.9593515869604,-524.266416423266,-1
0.00142929471353264,0.00399400463379324,39.5300399977527,69.3735207665311,39.7169987663326,-389.943911981663,-1
0.000137118449110494,0.000257467394754666,0.355019779625514,0.71860679645937,0,610.148198625646,1
0.000567226893558046,1.4329290154609e-05,12.1691906113238,10.4846895426494,22.4560009117528,-498.372834146611,-1
0.0031227278366158,0.0132249472449292,107.319329088035,189.881856804281,108.430529071924,75.605835197831,-1
1.09410927824027e-05,0.000111344912716131,0.0304426396584163,0.041489742481781,4.09250434714948e-05,500.72011860711,1
5.54044880276557e-06,3.57769870339474e-05,0.020473805582995,0.0145451467114439,0,538.072062421388,1
0.000273107028347403,0.000631243578698727,185.588379089074,336.330579473716,188.414490044064,-434.102162658461,-1
0.000147791569397563,0.000262935187551036,0.285415189990942,0.576456355972659,0,637.842553640969,1
1.30325444570641e-05,4.10973638745453e-05,1.62821793794202,1.90978004304785,0,634.177752372836,1
3.60226290426042e-05,7.89244493577691e-05,34.0818120066056,122.442350546636,49.4803648146035,450.591034750868,-1
0.00208577925206076,3.78807849593759e-06,34.402533768347,3.21289839769169,39.2262613482085,-460.323752969972,-1
1.34987781293906e-05,4.0373287924343e-05,0.748311645088337,1.29556092525064,0,356.252475859112,1
0.00058047260388044,1.33725855226508e-05,13.4198889353676,7.12335152163295,22.4996493927751,-522.697728190844,-1
0.00643642402094842,4.74337072725332e-06,102.294431548375,0,102.624495658901,303.578692337163,-1
3.51556331416383e-05,6.51938610126422e-05,0.595709872627494,0.538440489845177,0,155.226925036847,1
7.52417549400957e-05,0.000111828512628492,2.47901619171113,5.01470417978923,0,358.203698679713,1
0.00518865334217876,0.0242232876482426,131.664706128617,29.4982827123376,136.208448226446,-214.583948336557,-1
1.75756543959315e-05,4.11625699148045e-05,1.91243643894458,2.9054561738231,0,271.764581605877,1
1.75398185792599e-05,4.10625537979222e-05,1.91292405759366,2.90728270959512,0,271.457657542159,1
2.19381907352292e-05,5.0637725393133e-05,3.08436526785735,5.55980380770012,0,499.362871892934,1
0.00800973475549439,0.000135771308538903,13.4358619874073,72.9383724172855,0.0136790682189332,257.195999352482,1
4.50261157140514e-06,5.97019728800337e-05,1.39013898198234,1.21226887991588,0,605.829625797222,1
1.98541473219041e-05,0.000109787571359122,0.0517964309157057,0.101451513063298,6.33193060741063e-05,333.358230236057,1
1.03347066875845e-05,7.09810687194945e-05,0.358383920446322,0.320977878030016,0,670.259303433391,1
6.88161614814539e-06,3.96148799386392e-05,0.242694093555547,0.251890606902776,0,225.161651301606,1
5.24285470422263e-06,3.8221380426154e-05,3.76501446151061,2.64335092741723,0,534.438208336823,1
0.0757177137374046,0.000123800029734846,0,81.9322352960067,0,43.0922952082932,1
1.28400729491256e-05,4.27304014117522e-05,0.416285879469113,0.467730992000344,0,607.425237359196,1
0.00365260107443632,0.000119264743544911,0.0712286605746336,0.387041436544067,0.0065418887215047,260.796282861127,1
3.80823449895727e-06,7.91085951614353e-05,0.00885672759339729,0.00957676225511699,5.0836079419916e-07,581.550221426888,1
1.68763138746418e-05,0.000100072276875919,0.00023189409093689,0.000453672364071204,9.78973232996429e-08,270.1621466698,1
1.13782744947743e-05,5.93071261223667e-05,0.000416792786181305,0.000399900737578855,0,566.677053244437,1
7.17888556644561e-06,4.59438295426601e-05,0.00164436527859221,0.00183439246726447,0,192.425336546073,1
5.66457150249782e-06,4.15337046714732e-05,0.0250494316355359,0.0201615990188099,0,520.450879766195,1
0.075649038159563,0.00011696522819163,3.82195166059449e-05,0.0747647846038093,7.12535108499373e-08,14.8256942791488,1
1.5256470187686e-05,4.41950317180505e-05,0.00361827241573141,0.00453579512780505,0,591.445957904328,1
6.45488850200274e-05,5.43819792849953e-06,0,27.2568682765055,3.85955821862542,-528,1
0.0757063029940927,0.0005094975494351,0.0033094458802556,0.378311758148416,2.1717111552049e-06,-7.98495141363908,1
5.13097577360378e-05,3.78787878787879e-06,0.00181860444664939,0.00817960379664784,0,285.320814966613,1
0.000140185224387877,0.0104728564485618,1.93478302040941,12.7828364713184,3.50855443100247,587.967939440868,1
7.54189616189799e-06,9.48698728346659e-05,0.93942706084078,1.26477854544267,8.47654685122065e-05,771.59762273118,1
4.58641235632452e-06,6.70171237248769e-05,0.000335000125811605,0.000291023549023028,0,673.140383836361,1
6.74871196620907e-06,6.36829369956136e-05,0.000561801576737943,0.000644729713394869,0,694.517396267409,1
3.78787878787879e-06,6.81082876296315e-05,0.786305060918764,0.791207688328773,0.00445652846824613,913.85282494054,1
7.72799875593157e-06,3.78787878787879e-06,0.000871621627422842,0.00584528488500228,0,92.6981579319488,1
7.00936198600066e-06,6.53957090684843e-06,1.98072259015446e-05,5.11114290926182e-05,0,376.358481215583,1
9.82433055193827e-06,5.4142328131143e-05,0.00743870238290168,0.010581870746253,0,451.095441547985,1
1.46771498497011e-05,7.07547175620503e-05,0.0922507812199647,0.177339347891169,0,410.677592117559,1
7.18571312002987e-06,3.54464275275014e-05,6.18374241232033e-05,3.14124196765523e-05,0,346.670570647004,1
